place_id,city_slug,category_slug,name,description,address,schedule,image,rating,phone,website,maps_url
"la-tour","baia-mare","restaurante","La Tour","Restaurant elegant, bun pentru cină și ocazii speciale.","Strada Victoriei 10, Baia Mare","10:00 - 22:00","/images/place-placeholder.jpg","4.6","0740 123 456","https://latour.ro","https://maps.google.com/?q=La+Tour+Baia+Mare"
"pressco-restaurant","baia-mare","restaurante","Pressco","Meniu variat și servire rapidă, potrivit pentru prânz.","Bulevardul Regele Mihai I 2, Baia Mare","07:30 - 17:00","/images/place-placeholder.jpg","4.4","0751 900 926","https://pressco.ro","https://maps.google.com/?q=Pressco+Baia+Mare"
"millennium","baia-mare","restaurante","Millennium","Restaurant cunoscut local, cu atmosferă relaxată.","Centru Vechi, Baia Mare","10:00 - 22:00","/images/place-placeholder.jpg","4.3","0745 345 678","https://millennium.ro","https://maps.google.com/?q=Millennium+Baia+Mare"
"lulivo","baia-mare","restaurante","L'ulivo","Specific italian, apreciat pentru paste și pizza.","Bulevardul București, Baia Mare","12:00 - 23:00","/images/place-placeholder.jpg","4.6","0742 211 221","https://www.facebook.com/lulivobaiamare","https://maps.google.com/?q=L%27ulivo+Baia+Mare"
"budapesta","baia-mare","restaurante","Restaurant Budapesta","Preparatele tradiționale și porțiile mari îl fac foarte popular.","Strada Vasile Alecsandri, Baia Mare","10:00 - 22:00","/images/place-placeholder.jpg","4.5","0262 214 444","https://www.facebook.com/restaurantbudapestabm","https://maps.google.com/?q=Restaurant+Budapesta+Baia+Mare"
"rox-specialty","baia-mare","cafenele","Rox - Specialty Coffee","Cafea de specialitate și atmosferă modernă, foarte bine evaluată.","Strada Culturii 9, Baia Mare","L-V 07:00 - 18:00, S-D 08:00 - 16:00","/images/place-placeholder.jpg","4.9","0772 057 313","https://europeancoffeetrip.com/cafe/roxspecialtycoffee-baiamare/","https://maps.google.com/?q=Rox+Specialty+Coffee+Baia+Mare"
"code-coffee","baia-mare","cafenele","Code Coffee Shop & Roastery","Spațiu friendly pentru cafea bună, lucru și întâlniri.","Strada Progresului 58-60, Baia Mare","L-V 07:30 - 19:30, S-D 08:30 - 18:00","/images/place-placeholder.jpg","4.8","0752 210 315","https://europeancoffeetrip.com/cafe/codecoffeeshop-baiamare/","https://maps.google.com/?q=Code+Coffee+Shop+Baia+Mare"
"narcoffee","baia-mare","cafenele","Narcoffee Roasters","Loc apreciat pentru cafea bună și atmosferă calmă.","Bd. București 12, Baia Mare","08:00 - 20:00","/images/place-placeholder.jpg","4.5","0740 123 457","https://narcoffee.ro","https://maps.google.com/?q=Narcoffee+Baia+Mare"
"pressco-cafe","baia-mare","cafenele","Pressco Cafe","Cafenea centrală potrivită pentru mic dejun și coffee break.","Bulevardul Regele Mihai I 2, Baia Mare","07:30 - 17:00","/images/place-placeholder.jpg","4.7","0751 900 926","https://pressco.ro","https://maps.google.com/?q=Pressco+Cafe+Baia+Mare"
"log-out","baia-mare","cafenele","Log Out","Cafenea casual, bună pentru socializare.","Centru, Baia Mare","09:00 - 22:00","/images/place-placeholder.jpg","4.6","0741 124 555","https://www.facebook.com/logoutbaiamare","https://maps.google.com/?q=Log+Out+Baia+Mare"
"primaria-baia-mare","baia-mare","institutii","Primăria Baia Mare","Instituția principală de administrație locală.","Strada Gheorghe Șincai 37, Baia Mare","L-J 08:00 - 16:30, V 08:00 - 14:00","/images/place-placeholder.jpg","4","0262 211 001","https://www.baiamare.ro","https://maps.google.com/?q=Primaria+Baia+Mare"
"judecatoria-baia-mare","baia-mare","institutii","Judecătoria Baia Mare","Instanță locală cu servicii de registratură și arhivă.","Bd. Republicii 2A, Baia Mare","L-V 08:00 - 12:00","/images/place-placeholder.jpg","4.4","0262 218 235","https://portal.just.ro/182/","https://maps.google.com/?q=Judecatoria+Baia+Mare"
"consiliul-judetean-maramures","baia-mare","institutii","Consiliul Județean Maramureș","Instituție administrativă județeană.","Strada Gheorghe Șincai 46, Baia Mare","L-J 08:00 - 16:30, V 08:00 - 14:00","/images/place-placeholder.jpg","4.3","0262 212 110","https://www.cjmaramures.ro","https://maps.google.com/?q=Consiliul+Judetean+Maramures+Baia+Mare"
"ditl-baia-mare","baia-mare","institutii","Direcția Impozite și Taxe Locale","Plăți, taxe locale și informații pentru contribuabili.","Strada Crișan 2, Baia Mare","L-J 08:30 - 16:30, V 08:30 - 14:00","/images/place-placeholder.jpg","4.2","0262 211 001","https://www.baiamare.ro","https://maps.google.com/?q=Directia+Impozite+Taxe+Baia+Mare"
"spitalul-judetean-baia-mare","baia-mare","institutii","Spitalul Județean de Urgență","Spitalul principal al orașului cu servicii de urgență.","Strada George Coșbuc 31, Baia Mare","Non-stop (UPU)","/images/place-placeholder.jpg","4.1","0262 205 100","https://www.spitaljbm.ro","https://maps.google.com/?q=Spitalul+Judetean+Baia+Mare"
"teatrul-municipal-bm","baia-mare","cultural","Teatrul Municipal Baia Mare","Instituție culturală cu spectacole de teatru și festivaluri.","Strada Crișan 8, Baia Mare","Program în funcție de spectacole","/images/place-placeholder.jpg","4.7","0262 211 124","http://teatrulbm.ro","https://maps.google.com/?q=Teatrul+Municipal+Baia+Mare"
"muzeul-arta-bm","baia-mare","cultural","Muzeul de Artă Baia Mare","Muzeu important pentru arta locală și contemporană.","Strada 1 Mai 8, Baia Mare","Ma-D 10:00 - 17:00","/images/place-placeholder.jpg","4.7","0262 213 964","https://muzartbm.ro","https://maps.google.com/?q=Muzeul+de+Arta+Baia+Mare"
"muzeul-satului-bm","baia-mare","cultural","Muzeul Satului Baia Mare","Muzeu etnografic în aer liber cu arhitectură tradițională.","Strada Dealul Florilor 1, Baia Mare","10:00 - 18:00","/images/place-placeholder.jpg","4.7","0262 276 895","https://muzeummm.ro","https://maps.google.com/?q=Muzeul+Satului+Baia+Mare"
"colonia-pictorilor-bm","baia-mare","cultural","Colonia Pictorilor","Spațiu dedicat expozițiilor și atelierelor artistice.","Strada Victoriei 21, Baia Mare","10:00 - 18:00","/images/place-placeholder.jpg","4.6","0262 213 321","https://www.facebook.com/coloniapictorilor","https://maps.google.com/?q=Colonia+Pictorilor+Baia+Mare"
"bastionul-macelarilor-bm","baia-mare","cultural","Bastionul Măcelarilor","Obiectiv istoric folosit și pentru evenimente culturale.","Centru Vechi, Baia Mare","10:00 - 19:00","/images/place-placeholder.jpg","4.5","0262 211 001","https://www.baiamare.ro","https://maps.google.com/?q=Bastionul+Macelarilor+Baia+Mare"
"festivalul-castanelor-bm","baia-mare","evenimente","Festivalul Castanelor","Festival local foarte popular cu concerte și activități publice.","Zona centrală, Baia Mare","Sezonier","/images/place-placeholder.jpg","4.7","0262 211 001","https://www.baiamare.ro","https://maps.google.com/?q=Festivalul+Castanelor+Baia+Mare"
"sala-lascar-pana-bm","baia-mare","evenimente","Sala Sporturilor Lascăr Pană","Arenă pentru sport și evenimente indoor.","Bd. Unirii 14A, Baia Mare","Program variabil","/images/place-placeholder.jpg","4.6","0262 221 221","https://csnlascarpana.ro","https://maps.google.com/?q=Sala+Sporturilor+Lascar+Pana+Baia+Mare"
"teatrul-evenimente-bm","baia-mare","evenimente","Teatrul Municipal (Evenimente)","Premiere, spectacole și evenimente culturale recurente.","Strada Crișan 8, Baia Mare","Program variabil","/images/place-placeholder.jpg","4.7","0262 211 124","http://teatrulbm.ro","https://maps.google.com/?q=Teatrul+Municipal+Baia+Mare"
"piata-libertatii-bm","baia-mare","evenimente","Piața Libertății","Piață centrală pentru târguri și activări urbane.","Centrul Vechi, Baia Mare","Program variabil","/images/place-placeholder.jpg","4.5","0262 211 001","https://www.baiamare.ro","https://maps.google.com/?q=Piata+Libertatii+Baia+Mare"
"colonie-events-bm","baia-mare","evenimente","Colonia Pictorilor (Events)","Vernisaje, ateliere și evenimente creative.","Strada Victoriei 21, Baia Mare","Program variabil","/images/place-placeholder.jpg","4.6","0262 213 321","https://www.facebook.com/coloniapictorilor","https://maps.google.com/?q=Colonia+Pictorilor+Baia+Mare"
"baracca-cluj","cluj-napoca","restaurante","Baracca","Fine dining foarte apreciat pentru plating și servicii.","Strada Napoca 8A, Cluj-Napoca","12:00 - 23:00","/images/place-placeholder.jpg","4.8","0364 730 615","https://baracca.ro","https://maps.google.com/?q=Baracca+Cluj"
"roata-cluj","cluj-napoca","restaurante","Roata","Mâncare tradițională românească, populară printre turiști.","Strada Alexandru Ciurea 6, Cluj-Napoca","10:00 - 23:00","/images/place-placeholder.jpg","4.7","0264 592 022","https://www.facebook.com/roatacluj","https://maps.google.com/?q=Roata+Cluj"
"samsara-foodhouse","cluj-napoca","restaurante","Samsara Foodhouse","Restaurant vegetarian cu atmosferă elegantă.","Strada Cardinal Iuliu Hossu 3, Cluj-Napoca","12:00 - 22:00","/images/place-placeholder.jpg","4.6","0364 730 746","https://samsara.ro","https://maps.google.com/?q=Samsara+Foodhouse+Cluj"
"marty-cluj","cluj-napoca","restaurante","Marty Plaza","Restaurant central, meniu variat și servire rapidă.","Strada Regele Ferdinand 22-26, Cluj-Napoca","09:00 - 00:00","/images/place-placeholder.jpg","4.5","0364 401 677","https://martyrestaurants.ro","https://maps.google.com/?q=Marty+Cluj"
"via-cluj","cluj-napoca","restaurante","Via Restaurant","Restaurant premium, ideal pentru cine speciale.","Strada Inocențiu Micu Klein 6, Cluj-Napoca","12:00 - 23:00","/images/place-placeholder.jpg","4.6","0364 730 780","https://viarestaurant.ro","https://maps.google.com/?q=Via+Restaurant+Cluj"
"meron-central","cluj-napoca","cafenele","Meron","Cafenea specializată în coffee specialty și brunch.","Bd. Eroilor 5, Cluj-Napoca","08:00 - 20:00","/images/place-placeholder.jpg","4.7","0740 203 300","https://meron.coffee","https://maps.google.com/?q=Meron+Cluj"
"narcoffee-cluj","cluj-napoca","cafenele","Narcoffee Roasters","Cafea de specialitate cu spațiu modern.","Strada Napoca 8A, Cluj-Napoca","08:00 - 20:00","/images/place-placeholder.jpg","4.6","0753 128 128","https://narcoffee.ro","https://maps.google.com/?q=Narcoffee+Cluj"
"yume-cluj","cluj-napoca","cafenele","Yume Coffee Roasters","Loc cunoscut pentru cafea filtrată și espresso excelent.","Strada Samuil Micu 16, Cluj-Napoca","08:00 - 19:00","/images/place-placeholder.jpg","4.8","0749 280 321","https://www.instagram.com/yumecoffeeroasters","https://maps.google.com/?q=Yume+Coffee+Cluj"
"olivo-cluj","cluj-napoca","cafenele","Olivo Coffee Culture","Cafea bună și locație centrală, foarte populară.","Bd. Eroilor 7, Cluj-Napoca","08:00 - 22:00","/images/place-placeholder.jpg","4.6","0264 590 705","https://olivo.ro","https://maps.google.com/?q=Olivo+Cluj"
"lets-coffee-cluj","cluj-napoca","cafenele","Let's Coffee","Cafenea urbană, potrivită pentru întâlniri rapide.","Strada Memorandumului 3, Cluj-Napoca","08:00 - 19:00","/images/place-placeholder.jpg","4.5","0743 122 500","https://www.facebook.com/letscoffeecluj","https://maps.google.com/?q=Lets+Coffee+Cluj"
"primaria-cluj","cluj-napoca","institutii","Primăria Cluj-Napoca","Administrația locală a municipiului Cluj-Napoca.","Calea Moților 3, Cluj-Napoca","L-J 08:30 - 16:30, V 08:30 - 14:00","/images/place-placeholder.jpg","4.3","0264 596 030","https://primariaclujnapoca.ro","https://maps.google.com/?q=Primaria+Cluj-Napoca"
"prefectura-cluj","cluj-napoca","institutii","Instituția Prefectului Cluj","Instituție publică pentru servicii administrative județene.","Bd. 21 Decembrie 1989 58, Cluj-Napoca","L-V 08:30 - 16:30","/images/place-placeholder.jpg","4.2","0264 503 300","https://cj.prefectura.mai.gov.ro","https://maps.google.com/?q=Prefectura+Cluj"
"consiliul-judetean-cluj","cluj-napoca","institutii","Consiliul Județean Cluj","Coordonează proiecte și servicii la nivel de județ.","Calea Dorobanților 106, Cluj-Napoca","L-J 08:00 - 16:30, V 08:00 - 14:00","/images/place-placeholder.jpg","4.2","0264 431 550","https://cjcluj.ro","https://maps.google.com/?q=Consiliul+Judetean+Cluj"
"spitalul-judetean-cluj","cluj-napoca","institutii","Spitalul Clinic Județean Cluj","Unitate medicală majoră cu multiple specializări.","Strada Clinicilor 3-5, Cluj-Napoca","Non-stop (UPU)","/images/place-placeholder.jpg","4.2","0264 597 852","https://scjucluj.ro","https://maps.google.com/?q=Spitalul+Clinic+Judetean+Cluj"
"directia-taxe-cluj","cluj-napoca","institutii","Direcția Taxe și Impozite Cluj-Napoca","Plăți taxe locale și relații cu contribuabilii.","Piața Unirii 1, Cluj-Napoca","L-J 08:30 - 16:30, V 08:30 - 14:00","/images/place-placeholder.jpg","4.1","0264 596 030","https://primariaclujnapoca.ro","https://maps.google.com/?q=Taxe+si+Impozite+Cluj"
"teatrul-national-cluj","cluj-napoca","cultural","Teatrul Național Cluj-Napoca","Teatru emblematic cu repertoriu divers și producții mari.","Piața Ștefan cel Mare 2-4, Cluj-Napoca","Program spectacole","/images/place-placeholder.jpg","4.8","0264 592 771","https://www.teatrulnationalcluj.ro","https://maps.google.com/?q=Teatrul+National+Cluj"
"opera-romana-cluj","cluj-napoca","cultural","Opera Națională Română Cluj","Operă și balet în una dintre cele mai active instituții din țară.","Piața Ștefan cel Mare 2-4, Cluj-Napoca","Program spectacole","/images/place-placeholder.jpg","4.8","0264 595 366","https://www.operacluj.ro","https://maps.google.com/?q=Opera+Romana+Cluj"
"muzeul-arta-cluj","cluj-napoca","cultural","Muzeul de Artă Cluj-Napoca","Colecții de artă românească și europeană.","Piața Unirii 30, Cluj-Napoca","Ma-D 10:00 - 17:00","/images/place-placeholder.jpg","4.7","0264 596 952","https://www.macluj.ro","https://maps.google.com/?q=Muzeul+de+Arta+Cluj"
"muzeul-etnografic-cluj","cluj-napoca","cultural","Muzeul Etnografic al Transilvaniei","Patrimoniu etnografic bogat al regiunii.","Strada Memorandumului 21, Cluj-Napoca","Ma-D 10:00 - 18:00","/images/place-placeholder.jpg","4.7","0264 597 489","https://www.muzeul-etnografic.ro","https://maps.google.com/?q=Muzeul+Etnografic+Cluj"
"filarmonica-cluj","cluj-napoca","cultural","Filarmonica de Stat Transilvania","Concerte simfonice și evenimente muzicale premium.","Strada Emil Isac 19, Cluj-Napoca","Program concerte","/images/place-placeholder.jpg","4.8","0264 430 060","https://filarmonica-transilvania.ro","https://maps.google.com/?q=Filarmonica+Cluj"
"bt-arena-cluj","cluj-napoca","evenimente","BT Arena","Arenă majoră pentru concerte și competiții sportive.","Aleea Stadionului 4, Cluj-Napoca","Program variabil","/images/place-placeholder.jpg","4.7","0264 483 160","https://btarena.ro","https://maps.google.com/?q=BT+Arena+Cluj"
"cluj-arena","cluj-napoca","evenimente","Cluj Arena","Stadion modern pentru meciuri și evenimente mari.","Strada Stadionului 2, Cluj-Napoca","Program variabil","/images/place-placeholder.jpg","4.6","0264 450 654","https://clujarena.ro","https://maps.google.com/?q=Cluj+Arena"
"electric-castle","cluj-napoca","evenimente","Electric Castle","Festival internațional de muzică, foarte bine cotat.","Bonțida, Cluj","Sezonier","/images/place-placeholder.jpg","4.7","0364 730 000","https://electriccastle.ro","https://maps.google.com/?q=Electric+Castle"
"untold-festival","cluj-napoca","evenimente","UNTOLD Festival","Unul dintre cele mai mari festivaluri de muzică din Europa.","Cluj Arena, Cluj-Napoca","Sezonier","/images/place-placeholder.jpg","4.8","0731 000 000","https://untold.com","https://maps.google.com/?q=UNTOLD+Festival+Cluj"
"piata-unirii-events-cluj","cluj-napoca","evenimente","Piața Unirii (Evenimente)","Piață centrală folosită pentru târguri și evenimente urbane.","Piața Unirii, Cluj-Napoca","Program variabil","/images/place-placeholder.jpg","4.6","0264 596 030","https://primariaclujnapoca.ro","https://maps.google.com/?q=Piata+Unirii+Cluj"
"caru-cu-bere","bucuresti","restaurante","Caru' cu Bere","Restaurant istoric, foarte apreciat pentru atmosferă și meniu tradițional.","Strada Stavropoleos 5, București","08:00 - 00:00","/images/place-placeholder.jpg","4.6","0734 560 000","https://www.carucubere.ro","https://maps.google.com/?q=Caru+cu+Bere+Bucuresti"
"hanu-lui-manuc","bucuresti","restaurante","Hanul lui Manuc","Loc emblematic cu bucătărie românească și terasă mare.","Strada Franceză 62-64, București","10:00 - 00:00","/images/place-placeholder.jpg","4.6","021 335 9275","https://www.hanulluimanuc.ro","https://maps.google.com/?q=Hanul+lui+Manuc"
"kaiamo","bucuresti","restaurante","KAIAMO","Fine dining contemporan, bine cotat în ghiduri locale.","Strada Ermil Pangratti 30A, București","17:00 - 23:00","/images/place-placeholder.jpg","4.8","0723 138 111","https://kaiamo.ro","https://maps.google.com/?q=KAIAMO+Bucuresti"
"soro-lume","bucuresti","restaurante","Soro Lume","Meniu creativ reinterpretat din bucătăria românească.","Strada Fluierului 10, București","12:30 - 23:00","/images/place-placeholder.jpg","4.7","0740 091 239","https://sorolume.ro","https://maps.google.com/?q=Soro+Lume+Bucuresti"
"lacrimi-si-sfinti","bucuresti","restaurante","Lacrimi și Sfinți","Restaurant cu specific românesc și design autentic.","Strada Șepcari 16, București","12:00 - 23:30","/images/place-placeholder.jpg","4.6","0741 222 233","https://www.facebook.com/lacrimisisfinti","https://maps.google.com/?q=Lacrimi+si+Sfinti+Bucuresti"
"origo","bucuresti","cafenele","Origo Coffee","Una dintre cele mai apreciate cafenele specialty din oraș.","Strada Lipscani 9, București","08:00 - 20:00","/images/place-placeholder.jpg","4.7","0766 555 988","https://www.facebook.com/origocoffee","https://maps.google.com/?q=Origo+Coffee+Bucuresti"
"sloane","bucuresti","cafenele","Sloane Coffee","Cafea de specialitate și atmosferă premium.","Strada C.A. Rosetti 17, București","08:00 - 20:00","/images/place-placeholder.jpg","4.7","0737 001 122","https://sloane.coffee","https://maps.google.com/?q=Sloane+Coffee+Bucuresti"
"m60","bucuresti","cafenele","M60","Cafea bună, brunch și spațiu modern.","Strada D.I. Mendeleev 2, București","08:00 - 22:00","/images/place-placeholder.jpg","4.6","0741 778 838","https://www.facebook.com/m60cafe","https://maps.google.com/?q=M60+Bucuresti"
"frudisiac","bucuresti","cafenele","Frudisiac","Brunch & coffee spot foarte popular în centru.","Strada Vasile Lascăr 48-50, București","08:00 - 18:00","/images/place-placeholder.jpg","4.6","0730 009 886","https://frudisiac.com","https://maps.google.com/?q=Frudisiac+Bucuresti"
"bob-coffee-lab","bucuresti","cafenele","BOB Coffee Lab","Specialty coffee și produse artizanale.","Strada Episcopiei 6, București","08:00 - 19:00","/images/place-placeholder.jpg","4.7","0724 430 111","https://www.facebook.com/bobcoffeelab","https://maps.google.com/?q=BOB+Coffee+Lab+Bucuresti"
"primaria-capitalei","bucuresti","institutii","Primăria Municipiului București","Instituția administrativă centrală a capitalei.","Bd. Regina Elisabeta 47, București","L-J 08:30 - 16:30, V 08:30 - 14:00","/images/place-placeholder.jpg","4.1","021 305 5500","https://www.pmb.ro","https://maps.google.com/?q=Primaria+Capitalei"
"prefectura-bucuresti","bucuresti","institutii","Prefectura Municipiului București","Servicii administrative și coordonare instituțională.","Bd. Regina Elisabeta 47, București","L-V 08:30 - 16:30","/images/place-placeholder.jpg","4.1","021 315 6565","https://b.prefectura.mai.gov.ro","https://maps.google.com/?q=Prefectura+Bucuresti"
"anaf-bucuresti","bucuresti","institutii","ANAF - DGRFP București","Servicii fiscale pentru persoane fizice și juridice.","Strada Lucrețiu Pătrășcanu 10, București","L-J 08:30 - 16:30, V 08:30 - 14:00","/images/place-placeholder.jpg","4","021 408 9150","https://www.anaf.ro","https://maps.google.com/?q=ANAF+Bucuresti"
"spitalul-universitar","bucuresti","institutii","Spitalul Universitar de Urgență","Spital universitar major cu servicii de urgență.","Splaiul Independenței 169, București","Non-stop (UPU)","/images/place-placeholder.jpg","4.2","021 318 0500","https://www.suub.ro","https://maps.google.com/?q=Spitalul+Universitar+Bucuresti"
"directia-taxe-bucuresti","bucuresti","institutii","Direcția Impozite și Taxe Locale Sector 1","Plăți și administrare taxe locale.","Strada Grigore Alexandrescu 4, București","L-J 08:30 - 16:30, V 08:30 - 14:00","/images/place-placeholder.jpg","4","021 314 9090","https://www.impozitelocale1.ro","https://maps.google.com/?q=DITL+Sector+1+Bucuresti"
"teatrul-national-bucuresti","bucuresti","cultural","Teatrul Național I.L. Caragiale","Teatru de referință cu producții importante.","Bd. Nicolae Bălcescu 2, București","Program spectacole","/images/place-placeholder.jpg","4.8","021 314 7171","https://www.tnb.ro","https://maps.google.com/?q=Teatrul+National+Bucuresti"
"atheneul-roman","bucuresti","cultural","Ateneul Român","Clădire emblematică și sală de concerte a Filarmonicii.","Strada Benjamin Franklin 1-3, București","Program concerte","/images/place-placeholder.jpg","4.8","021 315 6875","https://www.fge.org.ro","https://maps.google.com/?q=Ateneul+Roman"
"mnar","bucuresti","cultural","Muzeul Național de Artă al României","Colecții naționale de artă veche și modernă.","Calea Victoriei 49-53, București","Ma-D 11:00 - 19:00","/images/place-placeholder.jpg","4.7","021 314 8119","https://www.mnar.arts.ro","https://maps.google.com/?q=MNAR+Bucuresti"
"muzeul-satului","bucuresti","cultural","Muzeul Național al Satului Dimitrie Gusti","Muzeu în aer liber cu patrimoniu etnografic românesc.","Șoseaua Kiseleff 28-30, București","09:00 - 19:00","/images/place-placeholder.jpg","4.8","021 317 9103","https://muzeul-satului.ro","https://maps.google.com/?q=Muzeul+Satului+Bucuresti"
"opera-nationala-bucuresti","bucuresti","cultural","Opera Națională București","Spectacole de operă și balet cu distribuții de top.","Bd. Mihail Kogălniceanu 70-72, București","Program spectacole","/images/place-placeholder.jpg","4.7","021 314 6980","https://operanb.ro","https://maps.google.com/?q=Opera+Nationala+Bucuresti"
"arena-nationala","bucuresti","evenimente","Arena Națională","Stadion mare pentru meciuri și concerte.","Bd. Basarabia 37-39, București","Program variabil","/images/place-placeholder.jpg","4.6","021 318 5200","https://www.arenanationala.ro","https://maps.google.com/?q=Arena+Nationala"
"romexpo","bucuresti","evenimente","ROMEXPO","Complex expozițional pentru târguri și conferințe.","Bd. Mărăști 65-67, București","Program variabil","/images/place-placeholder.jpg","4.5","021 207 7000","https://romexpo.ro","https://maps.google.com/?q=Romexpo+Bucuresti"
"sala-palatului","bucuresti","evenimente","Sala Palatului","Evenimente mari, concerte și spectacole.","Strada Ion Câmpineanu 28, București","Program variabil","/images/place-placeholder.jpg","4.6","021 315 5310","https://salapalatului.ro","https://maps.google.com/?q=Sala+Palatului+Bucuresti"
"beraria-h","bucuresti","evenimente","Berăria H","Locație mare de concerte și evenimente live.","Șoseaua Kiseleff 32, București","Program variabil","/images/place-placeholder.jpg","4.5","0725 345 345","https://berariah.ro","https://maps.google.com/?q=Beraria+H+Bucuresti"
